,link,Title/Address,img_links,price,description,bedrooms,bathrooms,habital_area,EPC certificate number,property_type,score
10,"https://www.realo.be/en/sleutelbloemdreef-3-8300-westkapelle/3370539?l=1193318244
",Villa for sale in Westkapelle,https://realocdn.com/image/5/BE-master_listing_3e05cd_3e05cd41a262ec8350a256ab87a7830b.jpg/475x356/0x400/2/4c86,€579.000,"

					This charming villa is the ideal family home or second residence by the sea. The villa on a plot of 697 m2 is tucked away in a dead end in a quiet residential area just 5 min from Knokke. This detached villa offers with spacious garden and sunny south facing terrace, 3 bedrooms and an indoor garage and 160 m² habitable surface many assets to create your dream home.

Layout: on the ground floor there is a spacious entrance hall with cloakroom and toilet, a spacious living room with parquet and all around access to the terrace and the garden, a fully equipped kitchen and an indoor garage. On the first floor there are 3 bedrooms and bathroom with bath and shower and a spacious night hall. There is the possibility of extension to the back.

The main assets are:
* Very spacious villa with 160 m² of living space;
* 3 bedrooms;
* Spacious and sunny living room with access to sunny garden;
* Classically designed property located in quiet residential area in a dead end street 5 minutes from the beach;
* Good location in relation to the roads;
* Expansion to the rear possible;

		
",3,1,160m2,2225443,House,65%
11,"https://www.realo.be/en/dorpsstraat-138d-8300-westkapelle/3341156?l=1077568790
",Flat - Apartment for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_3eb2b1_3eb2b1d0846be0934cf1261b144eac2a.jpg/475x356/0x400/2/3c67,€365.000,"

					Modern duplex-appartement in de residentie Magna Frisia te Knokke-Westkapelle. 
Centrale ligging in de Dorpsstraat vlakbij de buurtwinkels. Zorgeloos wonen in een tijdloze residentie. 

Indeling : inkom met vestiaire en gastentoilet, een zonnige woonkamer met parketvloer en een moderne leefkeuken voorzien van een eiland met eetplaats. Vanuit de keuken is er toegang tot een schitterend zonneterras met open zichten. Op de verdieping 3 grote slaapkamers en een moderne badkamer met inloopdouche en dubbele lavabo alsook een apart toilet.
Een binnenhuisarchitect zorgt voor een vlotte begeleiding en afwerking naar keuze van de koper. 

Gemakkelijk fietsenberging voorzien op het gelijkvloers achter de residentie. 
Indien gewenst kan er een parkeerplaats of garagebox aangekocht worden die eveneens gelegen zijn op het gelijkvloers.

Plannen en meer info bij Willem Cauwels op GSM (click here) (7 dagen op 7 bereikbaar).

		
",3,1,123m2,-,Flat,66%
12,"https://www.realo.be/en/kragenhoek-62-8300-westkapelle/3355115?l=1133066483
",Villa for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_a4a3af_a4a3affd433d499ff840be675215c2ba.jpg/475x356/0x400/2/0224,€1.749.000,"

					Luxueuze tot in de puntjes afgewerkte alleenstaande villa op een stuk grond van 718 m² .Ruim overdekt terras, met imposant zwembad in de mooi afgewerkte tuin. Carport en automatische buitenpoort.

			- view full description

",5,3,290m2,-,House,73%
13,"https://www.realo.be/en/zeedijk-607-8300-knokke-heist/5388050?l=1591156879
",Flat - Apartment for sale in Knokke-Heist,https://realocdn.com/image/5/BE-master_listing_e15660_e156603344a950dd07c13e2ccaa4ce9f.jpg/475x356/0x400/2/1978,€4.200.000,"

					Mezzanine casco met adembenemend zeezicht.

			- view full description

",3,2,300m2,-,Flat,53%
14,"https://www.realo.be/en/8300-knokke/5202369?l=1051529894
","De Lac, 8300 Knokke",https://realocdn.com/image/5/BE-master_listing_865350_865350c95110ef67c611bd4616d0f618.jpg/800x533/0x400/2/c0ef,€795.000,"

					Zeer ruim samengevoegd appartement  met groot terras op een steenworp van het strand en het Rubensplein te Knokke. 
INDELING: De twee appartementen beschikken elk over een inkomhal, ruime living en een volledig ingerichte keuken. 3 ruime slaapkamers, allen uitgevend op een immens zonneterras ( 55 m²). 2 badkamers met ligbad en toilet. Douchekamer met douche en toilet.  Privatieve kelders en gemeenschappelijke fietsenberging in de residentie. Mogelijkheid tot aankoop van een zeer ruime garagebox in de onmiddellijke omgeving (80.000 EUR). Mits aanpassingswerken kunnen er 2 opgesplitste appartementen gecreëerd worden met elk 2 slaapkamers.

		
",3,3,180m2,844864,Flat,77%
15,"https://www.realo.be/en/8300-knokke/5202366?l=2030567731
","Knokke Heilig Hart, 8300 Knokke",https://realocdn.com/image/5/BE-master_listing_0f8610_0f861053d0db7811031d1db7e7309761.jpg/800x533/0x400/2/7960,€430.000,"

					Aangenaam, zonnig app. met mooi open zicht, gelegen op de Kustlaan tussen het Driehoeksplein en het Albertplein.
INDELING: Inkom met vestiaire en gastentoilet. Zuidgerichte living (parket) met mooi open zicht. Volledig ingerichte open keuken. Ruime slaapkamer met ingemaakte kasten. Douchekamer met inloopdouche en aansl. voor wasmachine. Kelder en fietsenberging. 

		
",1,1,66m2,46169,Flat,81%
16,"https://www.realo.be/en/taborastraat-4-8300-knokke/3372486?l=1453780821
",Flat - Apartment for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_f67ead_f67ead5480a9289a4fdeafd493be08fc.jpg/475x356/0x400/2/c584,€725.000,"

					Res. Byblos. Exceptionally beautiful corner apartement (110 m²) with high windows and lots of natural light! This pearl is located on the Lippenslaan, a few steps away from the Van Bunnenplein. This apartment distinguishes itself from the rest by its top location, great layout & superb finishing. A very quiet and open feeling thanks to the higher location and the nice contact with the sea. Lay out: spacious entrance hall with fitted wardrobes and guest toilet, 2 big bedrooms + a cosy sitting area that can be converted into a separate bedroom, a bathroom and a shower room, an installed open kitchen with adjoining storage room and a unique living space. Sunny terrace on the south side. Also a private cellar in the building + a ground floor bicycle storage. Parking place possible to buy! This property already yielded 21,000 euros in short-term rental income this year, thanks in part to its excellent location and many assets. In short, a unique offer. Be quick! Ref. A004

		
",3,1,110m2,20180425--0002053113-1,Flat,74%
17,"https://www.realo.be/en/leenstraat-4-8301-heist/3357714?l=521788255
",Garage for sale in Heist,https://realocdn.com/image/5/BE-master_listing_2709f9_2709f988e371017be3d079cfafe0e3c5.jpg/475x356/0x400/2/99ec,€55.000,"

					Res. 't Leen is een gebouw met garagecomplex gelegen te Leenstraat 4, een zijstraat van de Westkapellestraat nabij de markt van Heist. De garage is een afgesloten box en is zeer makkelijk te bereiken gezien de ligging op het gelijkvloers. De rijweg naar de garage biedt ook enorm veel plaats om de draaien en te keren. Kom vrijblijvend langs om ze uit te proberen! Ref.G230

		
",-,-,-,-,Garage,86%
18,"https://www.realo.be/en/8300-knokke/5202366?l=613999688
",Flat - Apartment for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_af2a86_af2a8676aa0baa03e737fd029896ae1a.jpg/475x356/0x400/2/c682,€369.000,"

					Mooi gerenoveerd en ruim gelijkvloers appartement op een uitstekende ligging vlakbij het Van Bunnenplein.
Indeling: Inkomhal met vestiaire en gastentoilet. 
Ruime keuken met aansluitend de lichtrijke woonkamer. 
Twee grote slaapkamers, badkamer met ligbad.
Achteraan een gezellig koertje.
Er is een berging voorzien met aansluiting voor een wasmachine. 
Het appartement werd recent volledig opnieuw geschilderd. 
Enorm goede prijs-kwaliteit verhouding.
Absoluut de moeite waard.

		
",2,1,86m2,20190808-0002180443-RES-2,Flat,81%
19,"https://www.realo.be/en/8300-westkapelle/5202395?l=269546296
",Farming site for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_286413_286413134693a63b0f1d2f608db1f30f.jpg/475x356/0x400/2/99f6,€529.000,"

					Deze woning is gelegen op 1.050 m2 grond met rondomrond een open zicht over de polders van Knokke. Een ongelofelijk mooie omgeving, langst een klein polderwegje. 

Op het gelijkvloers de inkom met trap en gastentoilet, een zonnige woonkamer met zicht op de tuin. Momenteel is de keuken apart maar deze kan vrij gemakkelijk geïntegreerd worden in de woonkamer. Op die manier kan een woonkamer met open keuken gecreëerd worden van om en bij de 35m2. Vanuit de keuken en woonkamer is er toegang tot een zonneterras. Naast de keuken een grote garage met elektrische poort. Op de eerste verdieping zijn er twee grote slaapkamers met plankenvloer. Tussen de slaapkamers een ingerichte badkamer met ligbad en douche. Zolder. 

Naast de woning een grote zonnige tuin met zonneterrassen en veel privacy. Carport en autostandplaatsen.  

Bezoeken? Graag na afspraak met Willem Cauwels op GSM (click here)

",-,-,125m2,20150205,Office,31%
20,"https://www.realo.be/en/van-bunnenlaan-3-8300-knokke/3373026?l=1058175945
",Flat - Apartment for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_5abd76_5abd7615f1186890760107dc20d5497e.jpg/475x356/0x400/2/0be2,€369.000,"

					Dit instapklaar gelijkvoers appartement ligt vlakbij het Van Bunnenplein en de zeedijk te Knokke. De indeling van dit appartement is als volgt: woonkamer, aparte keuken, badkamer met ligbad, toilet, twee slaapkamers, berging en terras. Vervolgens is er ook een private berging ter beschikking in de kelder van het gebouw. Tenslotte is er een gemeenschappelijke fietsenberging en een private bergruimte voorzien in de kelder van de residentie.

		
",2,1,86m2,20190808-0002180443-RES-2,Flat,72%
21,"https://www.realo.be/en/zeedijk-het-zoute-697-8300-knokke/3378929?l=1999858145
","Zeedijk - het zoute 697 64, 8300 Knokke, Knokke-Zoute",https://realocdn.com/image/5/BE-master_listing_0b83bd_0b83bd9b4bbf0418ccbe68713ed30212.jpg/1500x1000/0x400/2/84c4,€1.695.000,"

					Prachtig afgewerkt appartement met een adembenemend frontaal zeezicht, gelegen op de 6de verdieping van een mooie residentie op de Zeedijk in hartje Het Zoute. Samenstelling : Ruime woonkamer met aangename breedte, bestaande uit het salon (met frontaal zeezicht) en eetplaats. De uitermate complete keuken zit stijlvol verborgen achter schuifwanden. De leefruimte is voorzien van veel opbergruimte (ingemaakte kasten). De 3 volwaardige slaapkamers bevinden zich achteraan het appartement en worden door een nachthal van de leefruimte afgescheiden. De masterbedroom heeft een ensuite badkamer met douche, 2 lavabo’s en een toilet. Bijkomende badkamer. Mogelijkheid om het huurcontract voor de garages over te nemen.

		
",3,2,131m2,20091122-0000363824-00000007-7,Flat,71%
22,"https://www.realo.be/en/koningslaan-184-8300-knokke/3354504?l=21819423
","Koningslaan 184 glv, 8300 Knokke, Knokke-Heist",https://realocdn.com/image/5/BE-master_listing_18fd57_18fd577a54e7d9f6a40af73e1774325b.jpg/800x533/0x400/2/ff1d,€439.000,"

					Stijlvol gelijkvloers gemeubeld appartement vlakbij het Rubensplein, het strand en de winkels. Indeling: inkomhal, 2 slaapkamers, badkamer met inloopdouche, toilet, open ingerichte keuken, ruime woonkamer, ruime privatieve kelder en gemeenschappelijke fietsenberging. Mogelijkheid tot aankopen autostaanplaats in het gebouw. De kwalitatieve afwerking en stijlvolle meubels zorgen voor een instant vakantiegevoel. Zeer interessant zowel als vast verblijf of als tweede verblijf. Bel ons voor een vrijblijvend bezoek en oordeel zelf!

		
",2,1,-,20121117-0001251436-00000000-6,Flat,76%
23,"https://www.realo.be/en/zeedijk-knokke-623-8300-knokke/3381807?l=1383475880
",Flat - Apartment for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_d93979_d93979ca428be3612b10dff4e87c0a1f.jpg/475x356/0x400/2/c70f,€589.000,"

					Res. Notre Rêve, Een ruim appartement met 3 slaapkamers op de Zeedijk te Knokke tussen het Rubensplein en het Van Bunnenplein. Het appartement bestaat uit een ruime woonkamer met open keuken, slaapkamer met aansluitend een douchekamer, apart toilet, berging, 2de grote slaapkamer met aansluitend een badkamer en een 3de grote slaapkamer met aansluitend een badkamer met toilet. Beide slaapkamers achteraan geven uit op het terras van 12m² en zijn voorzien van elektriche rolluiken. In het gebouw is een waterverzachter aanwezig, er is een fietsenberging met 2 fietshaken, een vuilnislokaal die elke week geleegd wordt en een privé kelder. Dit is een appartement van 98m² licht op te frissen met zeer veel mogelijkheden. Een extra troef, dit appartement is rolstoeltoegankelijk!Ref. A1623 

		
",3,3,98m2,20200929-0002321483-RES-1,Flat,69%
24,"https://www.realo.be/en/zwaluwenlaan-9-8300-knokke/3383659?cl=1290230950%2C924052220%2C183682197
","Zwaluwenlaan 9, 8300 Knokke, Knokke-Heist",https://realocdn.com/image/5/BE-master_listing_0ccac6_0ccac66762b5d234018b60834f52c551.jpg/475x356/0x400/2/d120,-,-,-,-,-,-,Flat,73%
25,"https://www.realo.be/en/zeedijk-193-8301-heist/5194406?l=358238376
",Flat - Apartment for sale in Heist,https://realocdn.com/image/5/BE-master_listing_95ffc8_95ffc81252684d47d9d391a0066824ae.jpg/475x356/0x400/2/158d,€269.000,"

					U zoekt een instapklaar, design en comfortabel appartement met zeezicht die toch betaalbaar is?Dan is de keuze niet enorm, maar is dit appartement een prachtig aanbod.Deze verborgen parel biedt geen enorme oppervlakte, al is de beschikbare ruimte maximaal benut. BEKIJK DE FILMPJES HIER TER ILLUSTRATIE!De huiselijke indeling en mooie raampartij zorgt bovendien voor een ruimtelijk gevoel.U heeft er een slaapkamer met inloopdouche ter uw beschikking met een afsluitbare extra slaapruimte voor 2 personenVerder is er een apart toilet en een woonkamer met open keuken.Aan de woonkamer grenst een uitsprong met steeds de opkomende zon die u, ondanks de ligging in de zijstraat, toch weet te verleiden met een prachtig rechtstreeks zeezicht.Het geheel werd een paar jaar terug van top tot teen gerenoveerd met bijzondere aandacht naar kwaliteit en domotica.Er zijn teveel snufjes om op te noemen, maar u kan er werkelijk alles regelen vanuit uw handpalm (alarm, verlichting, verwarming en muziek), zelfs vanop afstand.Hét ideale buitenverblijf die zich nog eens uitstekend leent om te verhuren voor korte periodes.Liefhebbers van comfort en hightech, kom dit vrijblijvend ontdekken! 

		
",1,-,43m2,201404071569750,Flat,78%
26,"https://www.realo.be/en/kustlaan-198-8300-knokke/3356051?l=1847431918
",Flat - Apartment for sale in Knokke,https://realocdn.com/image/5/BE-master_listing_4c29a9_4c29a99e3747a8ee8d411efa480452f0.jpg/475x356/0x400/2/f68e,€950.000,"

					Residentie ""Tennis House"", een klassieke villa residentie in de bocht van de Kustlaan met de Bronlaan.  Het appartement is op de hoek van de 3de verdieping gelegen en biedt een mooi zicht op het Zwin. De beide terrassen zijn perfect georiënteerd en hebben zon van ’s morgens tot de late namiddag. Het zicht is open, de sfeer is er rustig, en toch bent u op 100m van het strand. De 2 slaapkamers hebben zicht op zee en hebben elk een eigen bad- of douchekamer.  De woonkamer met zijn ruim terras kijkt uit over het Zwin. De keuken is momenteel apart en heeft een doorgeefopening in de woonkamer.  Bij renovatie kan de muur gemakkelijk worden opengemaakt. In de kelder is er een ruime privatieve berging, uitgerust met een stapelrek.  Verder kan u fietsen plaatsen in de gemeenschappelijke fietsenstalling. De Tennis House parkeergarage bevindt zich op -1, is vlot toegankelijk en uitgerust met een automatische poort en camera bewaking. Bij het appartement hoort een dubbele afgesloten garagebox, waar u 2 wagens achter elkaar kan parkeren. Prijs dubbele box : 110.000€. In september 2020 werden de terraswerken gestart waarbij de glasbalustrades worden vervangen en de vloeren worden gereinigd. Verder zijn er schilderwerken aan de gevel gepland.  Voor al deze werken werd er reeds een werkingsfonds aangelegd door de mede-eigenaars.

Bezoeken? Graag na afspraak met Willem Cauwels op GSM (click here) 
Le Tennis House est une résidence classique, qui se situe dans le virage du Kustlaan avec le Bronlaan. 

L’appartement se trouve au coin du troisième étage et offre une superbe vue sur le Zwin. Les deux terrasses sont bien orientées et profitent du soleil du matin jusqu’à la fin de l’après-midi.La vue est ouverte, l’ambiance est calme, et tout en étant à 100m de la plage. Les deux chambres à coucher ont une vue sur la mer et ont chacune une salle de bain ou de douche.Le living et sa grande terrasse donnent sur le Zwin. La cuisine est séparée du living et peut facilement être intégrée en supprimant le mur. La cave privative se situe au -1 et est équipée un rack de stockage. Vous pouvez garer les vélos dans un endroit commun. Le parking du tennis House est très facile d’accès via une pente légèrement inclinée. La porte est automatique et une caméra veille le -1. L’appartement se vend avec un garage fermé, qui permet d’y stationner 2 voitures. Prix du box de garage : 110.000€. En septembre 2020, les travaux de rénovation des terrasses ont été lancés. Les balustrades sont remplacées en verre et les sols seront nettoyés.  Des travaux de peinture des façades sont prévus.  Un fond de travail a été conçu par la copropriété. 

Une visite ? N’hésitez pas à contacter Willem Cauwels au (click here)

",2,2,87m2,0002301456,Flat,57%
27,"https://www.realo.be/en/8300-knokke/5202371?l=899942189
","Sparrebos - Golf, 8300 Knokke, Knokke-Heist",https://realocdn.com/image/5/BE-master_listing_eadbd2_eadbd2b513f8ad864fc8c6ca0a9ffc1f.jpg/1616x1080/0x400/2/389a,€2.495.000,"

					Zeer ruime penthouse van 278 m² ten midden het Zoute.

Deze prachtige penthouse ligt ten zuiden georiënteerd waardoor men kan genieten van het open zicht op de villa's in het Zoute en Binnenhof. Bovendien ook een toplocatie: centraal, rustig, dichtbij de Lippenslaan en op een kleine wandelafstand van het Albertplein.

Indeling: inkom met vestiaire en toilet, een ruime living met open haard (gas) en terrassen. Een volledig uitgeruste keuken, 3 lichtrijke slaapkamers, 2 badkamers, sauna, berging en wasplaats.

Afgewerkt met zeer mooie en exclusieve materialen en voorzien van ingemaakte kasten (renovatie: binnenhuis decoratie Descamps).

Mogelijkheid tot aankoop van een autostaanplaats in de residentie.   
Fietsberging + privatieve kelder ook aanwezig in de residentie.   
Bezoek warm aanbevolen.

		
",3,2,278m2,20110829.0000907499.00000006.9,Flat,51%
28,"https://www.realo.be/en/8300-knokke/5202364?l=1953147190
","Knokke - Centrum, 8300 Knokke, Knokke-Heist",https://realocdn.com/image/5/BE-master_listing_1f783e_1f783ea924d81f6c69c302113f978c19.jpg/184x192/0x400/2/dea8,-,"

					Garagebox te koop op de hoek van de Lippenslaan en de Kustlaan te Knokke-centrum. Gemakkelijk in-en uit te rijden.

		
",-,-,-,-,Garage,77%
29,"https://www.realo.be/en/8300-knokke/5202368?l=137054680
","Elisabethlaan - Het Zoute, 8300 Knokke, Knokke het zoute",https://realocdn.com/image/5/BE-master_listing_45b0ae_45b0ae2effc8daacf71deb4659daadc0.jpg/578x600/0x400/2/57b5,€850.000,"

					Prachtig duplex dakappartement met prachtig open zicht over de villa's van het Zoute, gelegen in een zeer rustige straat op wandelafstand van het Driehoeksplein en het strand.
INDELING: 5°verd: inkomhal met gastentoilet en vestiaire. Aangename leefruimte met eetplaats en zithoek met gashaard. Ingerichte keuken (Miele apparatuur) met  berging. 6° verd.: masterbedroom met ingemaakte kasten en aansluitende badkamer. 2° slaapkamer met ingemaakte kasten en doucheruimte. Mooi zonneterras (West). 7° verd.: overloop met bureau en solarium (20m²). Prachtig open zicht  op de villa's van het Zoute! Kelder. Garagebox te koop vlakbij.

		
",2,2,150m2,1939701,Flat,64%
